,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
322,Utah Valley,30,11,19,.367,-12.78,-4.92,5,9,8,5,3,14,1758,1923,,616,1540,.400,169,566,.299,357,514,.695,296,988,387,134,69,385,519
323,Utah,32,24,8,.750,21.30,6.82,13,5,16,1,8,7,2307,1822,,788,1624,.485,247,611,.404,484,692,.699,296,1117,458,190,161,366,534
324,Valparaiso,33,28,5,.848,6.33,-2.34,13,3,15,1,13,4,2304,1956,,817,1780,.459,224,593,.378,446,658,.678,386,1245,431,198,156,413,544
325,Vanderbilt,32,19,13,.594,11.85,6.36,9,9,14,4,5,9,2230,2033,,758,1611,.471,227,588,.386,487,689,.707,311,1084,487,153,158,420,549
326,Vermont,31,18,13,.581,1.43,-5.81,11,4,12,4,6,9,2051,1789,,720,1542,.467,168,462,.364,443,633,.700,250,1022,405,203,161,398,592
327,Villanova,34,32,2,.941,23.32,7.94,16,2,17,0,15,2,2593,2070,,861,1833,.470,306,787,.389,565,777,.727,351,1170,541,265,137,369,564
328,Virginia Commonwealth,35,26,9,.743,12.91,5.94,12,6,12,4,14,5,2537,2293,,872,2076,.420,283,828,.342,510,778,.656,431,1240,442,338,151,373,673
329,VMI,30,11,19,.367,-9.64,-3.71,7,11,6,8,5,11,2415,2428,,829,2074,.400,342,1078,.317,415,607,.684,434,1178,408,255,177,449,646
330,Virginia Tech,33,11,22,.333,1.57,5.60,2,16,10,9,1,13,2156,2289,,779,1747,.446,241,619,.389,357,558,.640,274,978,396,144,97,386,597
331,Virginia,32,29,3,.906,22.62,8.03,16,2,15,1,14,2,2091,1624,,761,1644,.463,162,449,.361,407,563,.723,329,1158,413,179,137,304,456
332,Wagner,30,10,20,.333,-11.28,-4.79,8,10,8,5,2,15,2052,2206,,722,1804,.400,179,574,.312,429,616,.696,445,1112,324,195,79,420,681
333,Wake Forest,32,13,19,.406,4.88,7.94,5,13,11,7,2,12,2209,2307,,762,1809,.421,206,614,.336,479,751,.638,375,1200,451,208,123,428,579
334,Washington State,31,13,18,.419,0.45,6.39,7,11,8,6,5,12,2189,2373,,743,1712,.434,214,626,.342,489,679,.720,282,1026,453,120,102,367,570
335,Washington,31,16,15,.516,5.82,5.08,5,13,8,7,8,8,2128,2105,,765,1747,.438,193,579,.333,405,593,.683,329,1082,412,152,153,361,535
336,Weber State,30,13,17,.433,-7.27,-3.49,8,10,8,6,5,11,2010,2041,,641,1518,.422,217,607,.357,511,683,.748,283,997,358,158,120,402,539
337,West Virginia,32,23,9,.719,16.39,9.30,11,7,12,3,11,6,2366,2139,,813,1975,.412,213,669,.318,527,798,.660,539,1177,465,350,91,418,748
338,Western Carolina,32,15,17,.469,-5.76,-3.50,9,9,7,6,8,11,2251,2284,,799,1839,.434,197,576,.342,456,651,.700,401,1130,375,260,141,435,671
339,Western Illinois,28,8,20,.286,-13.86,-2.97,3,13,8,6,0,14,1747,1983,,618,1543,.401,188,537,.350,323,463,.698,207,907,335,148,67,352,483
340,Western Kentucky,32,20,12,.625,1.31,-0.26,12,6,13,3,7,9,2285,2149,,793,1824,.435,248,685,.362,451,690,.654,363,1190,456,175,106,413,580
